scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Craugastor talamancae,2024-07-20 22:50:00 -0600,,"La Selva Biological Station, Heredia Province, Sarapiqui, Costa Rica",10.4232682,-84.0220298,,Almirante Robber Frog,https://www.inaturalist.org/observations/268629419,https://static.inaturalist.org/photos/482876409/medium.jpg,tremarctos,268629419,Almirante Robber Frog,Amphibia,65304,1,0,2024/07/20 10:50 PM,2024-07-20,2024-07-21 04:50:00 UTC,America/Costa_Rica,4296,4296,,open,false,,,458751,Ben Schweinhart,2025-04-04 22:50:38 UTC,2025-04-23 08:15:24 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2025-03-18 18:58:05 -0600,,Costa Rica,10.1459252887,-83.9301955211,,Almirante Robber Frog,https://www.inaturalist.org/observations/265920681,https://static.inaturalist.org/photos/477733760/medium.jpeg,gregschechter,265920681,Almirante Robber Frog,Amphibia,65304,1,0,2025-03-18 18:58:05,2025-03-18,2025-03-19 00:58:05 UTC,America/Costa_Rica,NA,31208,obscured,open,true,gps,gps,234165,Greg Schechter,2025-03-19 04:37:07 UTC,2025-04-13 04:46:00 UTC,research,CC-BY,NA,2,false
Craugastor talamancae,2025-02-28 05:43:00 -0500,,"Colón, Panama",9.4954121386,-79.6477030291,,Almirante Robber Frog,https://www.inaturalist.org/observations/265431003,https://static.inaturalist.org/photos/476764210/medium.jpg,denisgrange,265431003,Craugastor talamancae,Amphibia,65304,1,0,2025/02/28 05:43,2025-02-28,2025-02-28 10:43:00 UTC,America/Panama,147,147,,open,false,,,6444424,Denis,2025-03-15 17:44:58 UTC,2025-04-11 20:43:24 UTC,research,,NA,NA,false
Craugastor talamancae,2025-02-25 05:28:00 -0500,,"Colón, Panama",9.4954121386,-79.6477030291,,Almirante Robber Frog,https://www.inaturalist.org/observations/265430973,https://static.inaturalist.org/photos/476763717/medium.jpg,denisgrange,265430973,Craugastor talamancae,Amphibia,65304,1,0,2025/02/25 05:28,2025-02-25,2025-02-25 10:28:00 UTC,America/Panama,147,147,,open,false,,,6444424,Denis,2025-03-15 17:44:51 UTC,2025-04-11 20:45:20 UTC,research,,NA,NA,false
Craugastor talamancae,2025-02-25 04:01:00 -0500,,"Colón, Panama",9.4954121386,-79.6477030291,,Almirante Robber Frog,https://www.inaturalist.org/observations/265430972,https://static.inaturalist.org/photos/476763720/medium.jpg,denisgrange,265430972,Craugastor talamancae,Amphibia,65304,1,0,2025/02/25 04:01,2025-02-25,2025-02-25 09:01:00 UTC,America/Panama,147,147,,open,false,,,6444424,Denis,2025-03-15 17:44:50 UTC,2025-04-11 20:45:28 UTC,research,,NA,NA,false
Craugastor talamancae,2024-03-09 21:28:18 -0600,,"Cahuita, Limón Province, Talamanca, Costa Rica",9.6343510798,-82.7899911627,,Almirante Robber Frog,https://www.inaturalist.org/observations/260844033,https://inaturalist-open-data.s3.amazonaws.com/photos/468505257/medium.jpeg,leonard_s,260844033,Craugastor talamancae,Amphibia,65304,1,0,2024-03-09 21:28:18,2024-03-09,2024-03-10 03:28:18 UTC,America/Costa_Rica,860,860,,open,false,gps,gps,4062603,Leonard Spohr,2025-02-06 22:24:16 UTC,2025-04-14 14:19:18 UTC,research,CC-BY,NA,2,false
Craugastor talamancae,2022-10-17 04:41:00 -0600,,"Heredia Province, Sarapiqui, Costa Rica",10.3265566399,-84.0256336854,,Almirante Robber Frog,https://www.inaturalist.org/observations/244653609,https://inaturalist-open-data.s3.amazonaws.com/photos/436442264/medium.jpg,adrianpuntschart,244653609,Craugastor talamancae,Amphibia,65304,1,0,2022/10/17 04:41,2022-10-17,2022-10-17 10:41:00 UTC,America/Costa_Rica,977,977,,open,false,,,2791171,,2024-09-29 08:22:12 UTC,2024-10-09 17:30:32 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2019-01-29 06:10:00 -0600,,"Limón, Bananito Sur, Costa Rica",9.8584025173,-83.0187297524,,Almirante Robber Frog,https://www.inaturalist.org/observations/223094586,https://static.inaturalist.org/photos/395254859/medium.jpg,petermudde,223094586,Craugastor talamancae,Amphibia,65304,1,0,2019/01/29 06:10,2019-01-29,2019-01-29 12:10:00 UTC,America/Costa_Rica,33,33,,open,false,,,5221,Peter Mudde,2024-06-16 13:55:57 UTC,2024-06-19 12:43:03 UTC,research,CC-BY,NA,NA,false
Craugastor talamancae,2024-02-25 19:11:35 -0600,,"Limón Province, Punta Manzanillo, Costa Rica",9.6355085997,-82.6490447,,Almirante Robber Frog,https://www.inaturalist.org/observations/202192374,https://static.inaturalist.org/photos/357052694/medium.jpeg,bruno_r,202192374,Almirante Robber Frog,Amphibia,65304,1,0,2024-02-25 19:11:35,2024-02-25,2024-02-26 01:11:35 UTC,America/Costa_Rica,NA,NA,,open,false,,,5945848,Bruno Rosa,2024-03-12 19:35:26 UTC,2024-03-13 06:39:47 UTC,research,,NA,2,false
Craugastor talamancae,2023-11-28 18:44:00 -0600,,"Limón, Cahuita, Costa Rica",9.7306297083,-82.840111255,,Almirante Robber Frog,https://www.inaturalist.org/observations/198748324,https://static.inaturalist.org/photos/350362399/medium.jpg,natura-rica,198748324,Craugastor talamancae,Amphibia,65304,1,0,2023/11/28 18:44,2023-11-28,2023-11-29 00:44:00 UTC,America/Costa_Rica,250,250,,open,false,,,4857837,Kevin Esser,2024-02-08 19:42:08 UTC,2024-02-12 13:30:49 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2017-05-04 05:45:00 -0600,,"Limón, Matina, Costa Rica",10.1702,-83.2371,,Almirante Robber Frog,https://www.inaturalist.org/observations/197212858,https://inaturalist-open-data.s3.amazonaws.com/photos/347286147/medium.jpg,nat_rojasestevez,197212858,Craugastor talamancae,Amphibia,65304,1,0,2017/05/04 05:45,2017-05-04,2017-05-04 11:45:00 UTC,America/Costa_Rica,NA,NA,,open,false,,,4312607,Natalia Rojas-Estevez,2024-01-21 10:06:37 UTC,2024-02-04 08:32:33 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-03-25 20:29:00 -0600,,"Limón, Cahuita, Costa Rica",9.7302810777,-82.8389848084,,Almirante Robber Frog,https://www.inaturalist.org/observations/196425860,https://static.inaturalist.org/photos/345821838/medium.jpeg,naturundfoto,196425860,Craugastor talamancae,Amphibia,65304,1,0,2023/03/25 20:29,2023-03-25,2023-03-26 02:29:00 UTC,America/Costa_Rica,61,61,,open,false,,,2134076,Siegfried Baesler,2024-01-12 14:30:04 UTC,2024-02-09 19:22:17 UTC,research,,NA,NA,false
Craugastor talamancae,2023-12-06 19:30:00 -0600,,"La Selva Biological Station, Heredia Province, Sarapiqui, Costa Rica",10.4232682,-84.0220298,,Almirante Robber Frog,https://www.inaturalist.org/observations/194645708,https://inaturalist-open-data.s3.amazonaws.com/photos/342200886/medium.jpeg,rohitchak,194645708,Almirante Robber Frog,Amphibia,65304,1,0,2023/12/06 7:30 PM,2023-12-06,2023-12-07 01:30:00 UTC,America/Costa_Rica,4296,4296,,open,false,,,3355707,Rohit Chakravarty,2023-12-23 11:14:26 UTC,2024-02-09 19:22:54 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-12-13 00:16:12 -0600,,"Sarapiquí, Heredia, CR",10.46496246,-84.0548471668,,Almirante Robber Frog,https://www.inaturalist.org/observations/194075830,https://inaturalist-open-data.s3.amazonaws.com/photos/341044718/medium.jpg,geraldcr01,194075830,Craugastor talamancae,Amphibia,65304,1,0,2023-12-13 00:16:12-06:00,2023-12-13,2023-12-13 06:16:12 UTC,America/Costa_Rica,100,100,,open,false,,,4491923,,2023-12-16 03:41:56 UTC,2024-02-09 19:24:25 UTC,research,CC-BY-NC,NA,3,false
Craugastor talamancae,2019-07-10 04:25:00 -0600,,"Limón, Talamanca, Costa Rica",9.6216943164,-82.6979653219,,Almirante Robber Frog,https://www.inaturalist.org/observations/189003680,https://static.inaturalist.org/photos/330971994/medium.jpeg,nocturnalmedia,189003680,Craugastor talamancae,Amphibia,65304,1,0,2019/07/10 04:25,2019-07-10,2019-07-10 10:25:00 UTC,America/Costa_Rica,31,31,,open,false,,,5864543,Louis Puille,2023-10-26 13:28:49 UTC,2024-02-04 03:21:38 UTC,research,,NA,NA,false
Craugastor talamancae,2022-03-12 20:21:00 -0600,I haven't identified this frog for some time now. Inaturalist is suggesting that it's a species from the genus Craugastor.,"Horquetas 9 km al Sur Heredia, Heredia, Sarapiquí, Costa Rica",10.3305349,-84.0202003,,Almirante Robber Frog,https://www.inaturalist.org/observations/186324670,https://static.inaturalist.org/photos/325590152/medium.jpg,levi165,186324670,Almirante Robber Frog,Amphibia,65304,1,0,2022/03/12 8:21 PM,2022-03-12,2022-03-13 02:21:00 UTC,America/Costa_Rica,212,212,,open,false,,,5450976,Levi Morris,2023-10-05 20:12:26 UTC,2023-11-26 07:03:21 UTC,research,,NA,NA,false
Craugastor talamancae,2023-10-02 20:03:28 -0500,,"Bocas Del Toro, PA",9.3988466667,-82.675125,,Almirante Robber Frog,https://www.inaturalist.org/observations/186095793,https://inaturalist-open-data.s3.amazonaws.com/photos/325140531/medium.jpg,johnnyturtle,186095793,Almirante Robber Frog,Amphibia,65304,1,0,2023-10-02 20:03:28-05:00,2023-10-02,2023-10-03 01:03:28 UTC,America/Panama,18,18,,open,false,,,3026110,,2023-10-03 22:34:34 UTC,2024-01-09 02:40:18 UTC,research,CC-BY-NC,NA,3,false
Craugastor talamancae,2023-07-29 15:18:00 -0500,,"Popa Island, Punta Laurel, Panama",9.1594225,-82.116955,,Almirante Robber Frog,https://www.inaturalist.org/observations/176137379,https://inaturalist-open-data.s3.amazonaws.com/photos/306183542/medium.jpeg,braquel_wildlife,176137379,Almirante Robber Frog,Amphibia,65304,1,0,2023/07/29 3:18 PM,2023-07-29,2023-07-29 20:18:00 UTC,America/Panama,9280,9280,,open,false,,,2825846,,2023-08-01 17:27:57 UTC,2023-08-01 23:14:03 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-05-20 20:24:02 -0500,,"Provincia de Darién, Panamá",7.8361431269,-77.699585259,,Almirante Robber Frog,https://www.inaturalist.org/observations/170919933,https://inaturalist-open-data.s3.amazonaws.com/photos/296523501/medium.jpeg,diorlin,170919933,Craugastor talamancae,Amphibia,65304,1,0,2023-05-20 20:24:02,2023-05-20,2023-05-21 01:24:02 UTC,America/Panama,16256,16256,,open,false,gps,gps,2184066,,2023-07-03 22:11:42 UTC,2023-10-06 20:29:24 UTC,research,CC-BY-NC,NA,2,false
Craugastor talamancae,2023-05-17 23:05:20 -0500,,"8RRC+98Q, Bastimentos Island, Panama",9.3416865072,-82.1790231764,,Almirante Robber Frog,https://www.inaturalist.org/observations/162269637,https://static.inaturalist.org/photos/280570853/medium.jpeg,tomer7,162269637,Almirante Robber Frog,Amphibia,65304,1,0,2023-05-17 23:05:20,2023-05-17,2023-05-18 04:05:20 UTC,America/Panama,23,23,,open,false,,,5935183,Tomer Shein,2023-05-18 09:19:17 UTC,2023-07-01 03:31:30 UTC,research,,NA,2,false
Craugastor talamancae,2023-01-18 21:50:00 -0600,,"Limón Province, Costa Rica",9.6421957854,-82.7817038875,,Almirante Robber Frog,https://www.inaturalist.org/observations/159914426,https://inaturalist-open-data.s3.amazonaws.com/photos/276317761/medium.jpg,douglascook,159914426,Almirante Robber Frog,Amphibia,65304,1,0,2023/01/18 9:50 PM,2023-01-18,2023-01-19 03:50:00 UTC,America/Costa_Rica,244,244,,open,false,,,4811870,,2023-05-05 18:55:43 UTC,2023-05-08 12:16:27 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-02-13 10:43:00 -0500,,"Bastimentos Island, Panama",9.3030589,-82.1496049,,Almirante Robber Frog,https://www.inaturalist.org/observations/159469916,https://static.inaturalist.org/photos/275522712/medium.jpg,jonathanrubin,159469916,Almirante Robber Frog,Amphibia,65304,2,0,2023/02/13 10:43 AM,2023-02-13,2023-02-13 15:43:00 UTC,America/Panama,13103,13103,,open,false,,,2587511,,2023-05-03 17:25:27 UTC,2023-05-11 12:07:41 UTC,research,,NA,NA,false
Craugastor talamancae,2023-04-11 21:45:00 -0500,,"Colón, Panama",9.4926672272,-79.6496397062,,Almirante Robber Frog,https://www.inaturalist.org/observations/157569838,https://static.inaturalist.org/photos/272422227/medium.jpeg,elvenremerand,157569838,Craugastor talamancae,Amphibia,65304,3,0,2023/04/11 21:45,2023-04-11,2023-04-12 02:45:00 UTC,America/Panama,244,244,,open,false,,,2591860,Elven Remérand,2023-04-29 13:35:25 UTC,2024-02-28 18:24:41 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-04-19 22:52:00 -0500,,Panama,9.2922531155,-78.9810856289,,Almirante Robber Frog,https://www.inaturalist.org/observations/157568274,https://static.inaturalist.org/photos/272418249/medium.jpeg,elvenremerand,157568274,Almirante Robber Frog,Amphibia,65304,1,0,2023/04/19 22:52,2023-04-19,2023-04-20 03:52:00 UTC,America/Panama,1,1,,open,false,,,2591860,Elven Remérand,2023-04-29 13:31:51 UTC,2024-02-28 18:24:02 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2015-01-03 00:00:00 -0600,,"Limón Province, Costa Rica",9.6301088128,-82.6721474733,,Almirante Robber Frog,https://www.inaturalist.org/observations/156551478,https://static.inaturalist.org/photos/270722907/medium.jpeg,jonodashper,156551478,Almirante Robber Frog,Amphibia,65304,1,0,2015/01/03,2015-01-03,,America/Costa_Rica,899,899,,open,false,,,3936801,Jono Dashper,2023-04-25 09:05:14 UTC,2023-09-28 22:15:25 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-03-16 21:03:26 -0600,,"Sarapiqui, Heredia, CR",10.4265533333,-84.0113916667,,Almirante Robber Frog,https://www.inaturalist.org/observations/153862692,https://inaturalist-open-data.s3.amazonaws.com/photos/265854749/medium.jpg,steviekgold,153862692,Almirante Robber Frog,Amphibia,65304,1,0,2023-03-16 21:03:26-06:00,2023-03-16,2023-03-17 03:03:26 UTC,America/Costa_Rica,119,119,,open,false,,,34641,Stevie Kennedy-Gold,2023-04-07 22:05:09 UTC,2023-04-09 11:42:25 UTC,research,CC-BY-NC,NA,3,false
Craugastor talamancae,2023-03-17 22:13:00 -0500,,Panama,9.2923812018,-78.9810171473,,Almirante Robber Frog,https://www.inaturalist.org/observations/153202425,https://static.inaturalist.org/photos/264563836/medium.jpeg,elvenremerand,153202425,Almirante Robber Frog,Amphibia,65304,1,0,2023/03/17 22:13,2023-03-17,2023-03-18 03:13:00 UTC,America/Panama,2,2,,open,false,,,2591860,Elven Remérand,2023-04-02 17:19:17 UTC,2024-02-28 18:19:52 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-02-28 21:47:00 -0500,,Panama,9.2923772312,-78.9810184884,,Almirante Robber Frog,https://www.inaturalist.org/observations/153202423,https://static.inaturalist.org/photos/264563871/medium.jpeg,elvenremerand,153202423,Craugastor talamancae,Amphibia,65304,2,0,2023/02/28 21:47,2023-02-28,2023-03-01 02:47:00 UTC,America/Panama,2,2,,open,false,,,2591860,Elven Remérand,2023-04-02 17:19:17 UTC,2024-02-28 18:19:53 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2014-08-01 21:46:00 -0500,,"Darien, Panama",8.222349,-78.0029291841,,Almirante Robber Frog,https://www.inaturalist.org/observations/152676439,https://inaturalist-open-data.s3.amazonaws.com/photos/263592459/medium.jpg,christianmarty,152676439,Craugastor talamancae,Amphibia,65304,1,0,2014/08/01 21:46,2014-08-01,2014-08-02 02:46:00 UTC,America/Panama,85239,85239,,open,false,,,43707,christian marty,2023-03-28 23:54:18 UTC,2024-08-05 20:44:58 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2023-03-25 20:29:41 -0600,,Cahuita,9.733334123,-82.8295909613,,Almirante Robber Frog,https://www.inaturalist.org/observations/152461092,https://static.inaturalist.org/photos/263195289/medium.jpeg,naturundfoto,152461092,Craugastor talamancae,Amphibia,65304,1,0,2023-03-25 20:29:41,2023-03-25,2023-03-26 02:29:41 UTC,America/Costa_Rica,1306,1306,,open,false,,,2134076,Siegfried Baesler,2023-03-27 02:32:16 UTC,2023-10-15 16:46:38 UTC,research,,NA,2,false
Craugastor talamancae,2023-03-04 11:30:19 -0600,,"Talamanca, CR-LI, CR",9.6274250502,-82.6839101315,,Almirante Robber Frog,https://www.inaturalist.org/observations/151797708,https://inaturalist-open-data.s3.amazonaws.com/photos/261969803/medium.jpeg,lillij,151797708,Craugastor talamancae,Amphibia,65304,3,0,2023-03-04 11:30:19,2023-03-04,2023-03-04 17:30:19 UTC,America/Costa_Rica,565,565,,open,false,,,6399550,,2023-03-21 03:47:33 UTC,2023-04-09 19:39:18 UTC,research,CC-BY-NC,NA,2,false
Craugastor talamancae,2022-01-08 00:00:00 -0600,,Costa Rica,9.617457,-82.664697,,Almirante Robber Frog,https://www.inaturalist.org/observations/149945208,https://inaturalist-open-data.s3.amazonaws.com/photos/259278663/medium.jpg,takeahike,149945208,Almirante Robber Frog,Amphibia,65304,1,0,2022-01-08,2022-01-08,,America/Costa_Rica,NA,NA,,open,false,,,124387,Chris Lima,2023-03-01 00:55:51 UTC,2025-08-18 00:22:50 UTC,research,,NA,NA,false
Craugastor talamancae,2023-02-18 11:55:50 -0500,Young juvenil,"Isla Popa, Bocas del Toro, PA",9.2278400468,-82.1287512029,,Almirante Robber Frog,https://www.inaturalist.org/observations/149084141,https://inaturalist-open-data.s3.amazonaws.com/photos/256840719/medium.jpg,braquel_wildlife,149084141,Almirante Robber Frog,Amphibia,65304,2,0,2023-02-18 11:55:50-05:00,2023-02-18,2023-02-18 16:55:50 UTC,America/Panama,81,81,,open,false,,,2825846,,2023-02-18 23:34:15 UTC,2023-02-20 14:48:52 UTC,research,CC-BY-NC,NA,3,false
Craugastor talamancae,2006-06-14 00:11:00 -0600,,Costa Rica,10.403209993,-84.0774121254,,Almirante Robber Frog,https://www.inaturalist.org/observations/148811210,https://inaturalist-open-data.s3.amazonaws.com/photos/256330165/medium.jpeg,pecosvalleydiamond,148811210,Almirante Robber Frog,Amphibia,65304,1,0,2006/06/14 12:11 AM,2006-06-14,2006-06-14 06:11:00 UTC,America/Costa_Rica,836,31189,obscured,open,true,,,4348831,Moses Michelsohn,2023-02-15 06:41:51 UTC,2023-04-04 12:42:16 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2019-07-31 05:41:00 -0600,,"La Selva Biological Station, Heredia Province, Sarapiqui, Costa Rica",10.4232682,-84.0220298,,Almirante Robber Frog,https://www.inaturalist.org/observations/146175494,https://static.inaturalist.org/photos/251250603/medium.jpg,tremarctos,146175494,Almirante Robber Frog,Amphibia,65304,1,0,2019/07/31 5:41 AM,2019-07-31,2019-07-31 11:41:00 UTC,America/Costa_Rica,4296,4296,,open,false,,,458751,Ben Schweinhart,2023-01-09 02:35:54 UTC,2023-10-15 21:09:52 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2022-12-16 19:05:49 -0600,,"Talamanca, Limon, CR",9.7335664756,-82.8403306114,,Almirante Robber Frog,https://www.inaturalist.org/observations/144531599,https://inaturalist-open-data.s3.amazonaws.com/photos/248079930/medium.jpg,millerkirk,144531599,Almirante Robber Frog,Amphibia,65304,1,0,Fri Dec 16 2022 19:05:49 GMT-0600 (CST),2022-12-16,2022-12-17 01:05:49 UTC,America/Costa_Rica,25,25,,open,false,,,6368484,,2022-12-17 12:46:05 UTC,2023-05-23 21:50:41 UTC,research,CC-BY-NC,NA,3,false
Craugastor talamancae,2019-08-23 22:46:00 -0600,,"Limón, Costa Rica",9.6368585554,-82.7187252468,,Almirante Robber Frog,https://www.inaturalist.org/observations/141408813,https://inaturalist-open-data.s3.amazonaws.com/photos/242244141/medium.jpg,george_wildlife,141408813,Almirante Robber Frog,Amphibia,65304,1,0,2019/08/23 10:46 PM,2019-08-23,2019-08-24 04:46:00 UTC,America/Costa_Rica,977,977,,open,false,,,1247299,Jorge Pérez Arienza,2022-11-07 22:46:53 UTC,2024-09-07 23:17:50 UTC,research,CC-BY-NC,NA,NA,false
Craugastor talamancae,2022-01-17 22:16:29 -0600,,"Limón, Costa Rica",9.636846042,-82.7947131917,,Almirante Robber Frog,https://www.inaturalist.org/observations/130769728,https://static.inaturalist.org/photos/222442126/medium.jpeg,joao_louro,130769728,Almirante Robber Frog,Amphibia,65304,2,0,2022-01-17 22:16:29,2022-01-17,2022-01-18 04:16:29 UTC,America/Costa_Rica,1104,1104,,open,false,,,3493950,João Louro,2022-08-14 12:34:38 UTC,2022-10-03 17:02:43 UTC,research,,NA,2,false
Craugastor talamancae,2022-01-17 21:13:52 -0600,,"Limón, Costa Rica",9.636846042,-82.7947131917,,Almirante Robber Frog,https://www.inaturalist.org/observations/130769542,https://static.inaturalist.org/photos/222441699/medium.jpeg,joao_louro,130769542,Almirante Robber Frog,Amphibia,65304,2,0,2022-01-17 21:13:52,2022-01-17,2022-01-18 03:13:52 UTC,America/Costa_Rica,1104,1104,,open,false,gps,gps,3493950,João Louro,2022-08-14 12:32:33 UTC,2022-10-22 11:29:27 UTC,research,,NA,2,false
